uid,half_width,asymmetry,latency,rise,organoid,n_spikes,fr,ISI.median,age
TC017_30B,0.5927507888578863,0.028055179087510835,1.7,0.16736993927063135,TSCp5_30s,148,0.11674104,0.23193333,8.425413580246914
TC017_49C,0.28878772579360545,-0.006279383022555603,0.9,0.2733065542762513,TSCp5_30s,368,0.29027503,0.89416667,8.425413580246914
TC017_39C,0.2791959731214,-0.22061274704341613,1.0,0.22523812025357964,TSCp5_30s,165,0.13015049,0.11978333,8.425413580246914
TC010_13B,0.5216668545246714,0.030173277618083312,1.7333333333333334,0.22523621746297617,TSCp5_32s,302,0.06687078,0.5747,5.817425540123456
TC010_17B,0.33553972582170105,0.06593578714423895,1.7333333333333334,0.12057063719455362,TSCp5_32s,524,0.11602745,0.23986667,5.817425540123456
TC010_35C,0.37538902244242467,-0.015630647148363205,1.6,0.3938415986608078,TSCp5_32s,151,0.03343539,7.70195,5.817425540123456
TC010_60D,0.3557096141117467,-0.19539648719245162,1.1666666666666667,0.4357857423591878,TSCp5_32s,162,0.03587108,8.80206667,5.817425540123456
TC010_79D,0.15770241563936077,0.2435227206747955,0.6333333333333333,0.06714933824110574,TSCp5_32s,3617,0.80089938,0.02825,5.817425540123456
TC010_97D,0.10670914989482701,0.49891176198311993,0.6666666666666666,0.04227416143419826,TSCp5_32s,4786,1.05974687,0.0275,5.817425540123456
TC010_130E,0.2916126492839633,0.40065701986016566,0.5,0.14899302542349466,TSCp5_32s,3454,0.76480687,0.05366667,5.817425540123456
TC010_131E,0.35583494014585165,-0.1235384686351219,1.3333333333333333,0.2703205561983123,TSCp5_32s,855,0.18931959,0.05881667,5.817425540123456
TC010_132E,0.11523661342572779,0.5865114417805856,0.5666666666666667,0.04076864490085773,TSCp5_32s,1431,0.31686121,0.01511667,5.817425540123456
TC010_157G,0.11769188908938494,0.7022127508585252,0.6,0.039012964249400754,TSCp5_32s,1187,0.26283317,0.06216667,5.817425540123456
TC010_161G,0.2375222653207878,0.2389528015945449,0.6,0.0747304181148813,TSCp5_32s,140,0.0309997,10.6469,5.817425540123456
TC010_162H,0.07804903990608925,0.6682956207172079,0.5,0.04161866096951338,TSCp5_32s,1425,0.31553266,0.01548333,5.817425540123456
TC010_164H,0.46973005525531164,-0.03337447108603667,1.5333333333333332,0.15487156202639696,TSCp5_32s,205,0.04539242,3.8693,5.817425540123456
TC016_5C,0.10181598456383321,0.3265046067085623,0.5666666666666667,0.04326500435538397,TSCp5_32s,2879,3.84490601,0.0207,8.424470293209875
TC016_8C,0.3269420983690014,-0.08170783671255857,1.3,0.13744966108739334,TSCp5_32s,296,0.39530816,0.3883,8.424470293209875
TC016_27D,0.3174278231183294,0.1078354279370618,0.5333333333333333,0.13006509420653814,TSCp5_32s,960,1.2820805,0.084,8.424470293209875
TC011_0A,0.23984049055341453,0.14813489578674296,1.5,0.09989375646949554,TSCp5_30s,30,0.0066828,40.226,5.883484953703704
TC011_12C,0.38303135771874064,-0.10863528314042611,1.5333333333333332,0.2544399055265546,TSCp5_30s,190,0.04232437,0.07916667,5.883484953703704
TC011_14F,0.404810982437346,-0.05038497159365799,1.9333333333333333,0.3680650971728627,TSCp5_30s,70,0.01559319,0.05243333,5.883484953703704
TC011_21G,0.3214415283607719,0.00014040129028785805,1.7666666666666666,0.1879805991690413,TSCp5_30s,363,0.08086183,0.0435,5.883484953703704
TC011_26G,0.5205827848570936,-0.024568336460643284,1.4,0.4401544813808518,TSCp5_30s,349,0.07774319,0.05118333,5.883484953703704
TC011_27G,0.3512780728489848,-0.011721488808605811,1.9333333333333333,0.35706083477860395,TSCp5_30s,479,0.10670197,0.04333333,5.883484953703704
TC011_29H,0.5582519494896061,-0.043878105063119344,1.5,0.37324607537405136,TSCp5_30s,91,0.02027115,0.26833333,5.883484953703704
TC003_2B,0.10704047363728672,-0.04073791938528798,0.2,0.0937892392774342,TSCp5_32s,445,0.03903478,0.09806667,5.887439814814814
TC003_4B,0.10760881101559339,0.03979780480787479,0.23333333333333334,0.07477152257674623,TSCp5_32s,844,0.07403451,0.10186667,5.887439814814814
TC026_29B,0.31675327941815706,-0.04515347202693274,1.9666666666666666,0.6142095813889703,TSCp5_32s,3531,1.95382589,0.0445,3.7559988425925925
TC026_41B,0.40455075005819646,-0.047530942962868444,1.3333333333333333,0.3083440912349379,TSCp5_32s,118,0.06529353,15.09163333,3.7559988425925925
TC026_44B,0.2865688468018485,-0.16894617303563228,1.1666666666666667,0.2052041749224846,TSCp5_32s,38,0.02102673,21.54046667,3.7559988425925925
TC026_45B,0.3613364065036535,-0.10202492211838007,1.3666666666666667,0.43942320546922176,TSCp5_32s,322,0.17817387,0.25326667,3.7559988425925925
TC026_80C,0.42345596079301184,0.08964073454821356,0.9333333333333333,0.21511664491377946,TSCp5_32s,163,0.09019361,0.12755,3.7559988425925925
TC026_47C,0.3870796603867459,0.003291806482858822,1.3333333333333333,0.18620533867656378,TSCp5_32s,319,0.17651387,0.12493333,3.7559988425925925
TC026_88C,0.41205489411531177,-0.08191817337909538,1.1666666666666667,0.3613488256650911,TSCp5_32s,310,0.17153385,0.1368,3.7559988425925925
TC006_80A,0.1870863498091237,0.05965920474322477,0.7,0.13308902190918037,TSCp5_32s,5180,2.38424067,0.01553333,3.689852237654321
TC006_84C,0.171327526357481,-0.010284171334111941,0.7,0.09549532398326997,TSCp5_32s,3331,1.53318642,0.02266667,3.689852237654321
TC006_82C,0.15211859540187167,-0.012727695351698251,0.5333333333333333,0.09210077789577559,TSCp5_32s,426,0.19607848,0.19696667,3.689852237654321
TC002_1D,0.1264420270808247,-0.5612162767182965,0.1,0.16802372968511084,TSCp5_32s,220,0.05619977,0.02536667,5.88557175925926
TC002_4D,0.1306983663047023,0.7679007408654656,0.36666666666666664,0.042259568302775344,TSCp5_32s,626,0.15991388,0.04053333,5.88557175925926
TC002_5D,0.09967725138701553,-0.20534986524193982,0.2,0.08888061533930434,TSCp5_32s,337,0.08608783,0.02071667,5.88557175925926
TC025_1A,0.315781709525663,0.02036308292847907,1.8666666666666667,0.34511996963921615,TSCp5_30s,174,0.11548247,1.01663333,3.7548063271604937
TC025_4A,0.3054346990253033,-0.039514747032960415,1.8666666666666667,0.32611153480237765,TSCp5_30s,397,0.26348588,0.05433333,3.7548063271604937
TC025_11A,0.29181135461660024,-0.04391804045972228,1.4666666666666666,0.12510492776255,TSCp5_30s,115,0.07632462,0.088,3.7548063271604937
TC025_24B,0.2705104079918982,-0.06037695559477775,1.3666666666666667,0.16872135480797112,TSCp5_30s,1485,0.98558319,0.13335,3.7548063271604937
TC025_58B,0.37060411829450546,0.20589807805948734,1.0666666666666667,0.09630747199952576,TSCp5_30s,746,0.49511452,0.09683333,3.7548063271604937
TC025_27B,0.3056658424798551,0.045094897504088294,1.1333333333333333,0.10332773686832321,TSCp5_30s,238,0.15795879,0.15523333,3.7548063271604937
TC025_48D,0.2707941000651504,0.09095592022959748,1.1,0.08378948912238447,TSCp5_30s,544,0.36104866,0.31823333,3.7548063271604937
TC014_115A,0.18405752887287694,0.04120345670475692,0.8666666666666667,0.08335141404647761,TSCp5_32s,4230,2.08405782,0.02,7.020479166666666
TC014_12A,0.19294161542807065,-0.13964139653393548,0.9666666666666667,0.23986252979114533,TSCp5_32s,4629,2.28063916,0.01746667,7.020479166666666
TC014_13A,0.1193500720544165,-0.014059685869997427,1.7666666666666666,0.13318167215897864,TSCp5_32s,2139,1.05385335,0.0312,7.020479166666666
TC014_15A,0.3570015365063187,-0.03166135340595944,1.5333333333333332,0.18015516615596402,TSCp5_32s,719,0.35424056,0.01466667,7.020479166666666
TC014_38B,0.14146986402581707,-0.031563582906011516,1.3333333333333333,0.14710627562683076,TSCp5_32s,1269,0.62521735,0.04521667,7.020479166666666
TC014_45C,0.13546500996934252,-0.07026953891161851,0.9666666666666667,0.08406219883387915,TSCp5_32s,2989,1.47263566,0.01923333,7.020479166666666
TC014_57C,0.15016679059143576,0.07977425099174451,1.4333333333333333,0.05345147214690845,TSCp5_32s,4450,2.19244853,0.01826667,7.020479166666666
TC014_70C,0.19452505982413915,0.1773791317227469,0.9666666666666667,0.05377134699518157,TSCp5_32s,5419,2.66986036,0.01526667,7.020479166666666
